time,A,B,C,D
0,4.2081,5.9664,0.0554,0.0527
30,2.9073,4.5812,0.2711,0.1128
60,2.1095,3.5044,0.3521,0.2009
90,1.7876,3.045,0.3495,0.2716
120,1.5991,2.501,0.3448,0.3163
180,0.7792,1.8145,0.4272,0.4076
240,0.5501,1.27,0.4031,0.4803
300,0.3716,0.9102,0.3934,0.5279
