time,A,C,D
10,0.01,0.6932,0.2969
20,0.018,0.6772,0.3048
30,0.0235,0.6478,0.3287
40,0.0267,0.6424,0.331
60,0.027,0.6267,0.3463
120,0.0157,0.5505,0.4338
