time,A,B,C,D
0,4.2749,6.302,0.0408,0.0532
30,2.3753,3.7676,0.3445,0.1521
65,1.2855,2.657,0.4659,0.2616
90,0.9386,1.8543,0.4602,0.3408
120,0.7705,1.4986,0.402,0.4347
180,0.387,0.8531,0.407,0.5109
240,0.2416,0.3889,0.4049,0.5439
300,0.2507,0.1607,0.3951,0.5517
